"﻿""Billing address""","﻿""Billing address"""
"Shipping address","Shipping address"
"Shipping method","Shipping method"
"Time of Delivery","Time of Delivery"
"Payment methods","Payment methods"
"Order Review","Order Review"
"First Name","First Name"
"Last Name","Last Name"
"Email Address","Email Address"
"Company","Company"
"Country","Country"
"State/Province","State/Province"
"Zip/Postal","Zip/Postal"
"City","City"
"Address","Address"
"Telephone","Telephone"
"Fax","Fax"
"Tax/VAT number","Tax/VAT number"
"Date of Birth","Date of Birth"
"Gender","Gender"
"Prefix","Prefix"
"M.I.","M.I."
"Suffix","Suffix"
"MM","MM"
"DD","DD"
"YYYY","YYYY"
"Save in address book","Save in address book"
"Create Account","Create Account"
"Password","Password"
"Confirm Password","Confirm Password"
"Ship to billing address","Ship to billing address"
"Comments","Comments"
"Already registered? Click here to login.","Already registered? Click here to login."
"Customer Login","Customer Login"
"I accept the <a class=""terms-link"" href=""%s"" rel=""#terms-block"">Terms and Conditions</a>","I accept the <a class=""terms-link"" href=""%s"" rel=""#terms-block"">Terms and Conditions</a>"
"Login","Login"
"Forgot Your Password?","Forgot Your Password?"
"Place Order","Place Order"
"Subscribe to newsletter","Subscribe to newsletter"
"* This field is required","* This field is required"
"* Please select an option","* Please select an option"
"* This checkbox is required","* This checkbox is required"
"*Between ","*Between "
" and "," and "
"characters allowed","characters allowed"
"* Checks allowed Exceeded","* Checks allowed Exceeded"
"* Please select ","* Please select "
" options"," options"
"* Your field is not matching","* Your field is not matching"
"* Invalid phone number","* Invalid phone number"
"* Invalid email address","* Invalid email address"
"* Invalid date, must be in YYYY-MM-DD format","* Invalid date, must be in YYYY-MM-DD format"
"* Numbers only","* Numbers only"
"* This user is available","* This user is available"
"* Loading, please wait","* Loading, please wait"
"* This user is already taken","* This user is already taken"
"* This name is already taken","* This name is already taken"
"* This name is available","* This name is available"
"* Letters only","* Letters only"
"* You must have a firstname and a lastname","* You must have a firstname and a lastname"
"Check this checkbox if you want to add gift messages.","Check this checkbox if you want to add gift messages."
"Enter a gift message for entire order.","Enter a gift message for entire order."
"You can leave this box blank if you do not wish to add a gift message for whole order.","You can leave this box blank if you do not wish to add a gift message for whole order."
"From","From"
"To","To"
"Message","Message"
"Item %d of %d","Item %d of %d"
"Updating information, please wait...","Updating information, please wait..."
"General","General"
"Enable LightCheckout","Enable LightCheckout"
"Default Country","Default Country"
"Default Shipping Method","Default Shipping Method"
"Default Payment Method","Default Payment Method"
"Page Title","Page Title"
"Page Content","Page Content"
"Enable Different Shipping Address","Enable Different Shipping Address"
"Enable Delivery Date","Enable Delivery Date"
"Enable GeoIP for Country","Enable GeoIP for Country"
"Registration","Registration"
"Checkout Mode","Checkout Mode"
"Registered and guest customers","Registered and guest customers"
"Only registered customers","Only registered customers"
"Only guest customers","Only guest customers"
"Enable/Disable Address Fields","Enable/Disable Address Fields"
"Region","Region"
"Zip/Postcode","Zip/Postcode"
"Newsletter Checkbox","Newsletter Checkbox"
"Sort Address Fields","Sort Address Fields"
"Company Order","Company Order"
"Country Order","Country Order"
"City Order","City Order"
"Telephone Order","Telephone Order"
"Fax Order","Fax Order"
"Region Order","Region Order"
"Address Order","Address Order"
"Zip/Postcode Order","Zip/Postcode Order"
"Terms & Conditions","Terms & Conditions"
"Enable Terms and Conditions","Enable Terms and Conditions"
"Terms and Conditions Text","Terms and Conditions Text"
"Popup Width in Pixels","Popup Width in Pixels"
"Popup Height in Pixels","Popup Height in Pixels"
"Enable","Enable"
"Disable","Disable"
"Required","Required"
"Optional","Optional"
"Yes","Yes"
"No","No"
