"Billing address","Dirección de facturación"
"Shipping address","Dirección de envío"
"Shipping method","Método de envío"
"Time of Delivery","Hora de entrega"
"Payment methods","Métodos de pago"
"Order Review","Resumen del pedido"
"First Name","Nombre"
"Last Name","Apellido"
"Email Address","E-mail"
"Company","Empresa"
"Country","País"
"State/Province","Estado/Provincia"
"Zip/Postal","Código postal"
"City","Ciudad"
"Address","Dirección"
"Telephone","Teléfono"
"Fax","Fax"
"Tax/VAT number","Número de Identificación Tributaria"
"Date of Birth","Fecha de nacimiento"
"Gender","Sexo"
"Prefix","Prefijo"
"M.I.","Inicial del segundo nombre"
"Suffix","Sufijo"
"MM","MM"
"DD","DD"
"YYYY","AAAA"
"Save in address book","Guardar en libreta de direcciones"
"Create Account","Crear cuenta"
"Password","Contraseña"
"Confirm Password","Confirmar contraseña"
"Ship to billing address","Enviar a la dirección de facturación"
"Comments","Comentarios"
"Already registered? Click here to login.","¿Ya está registrado? Haga clic aquí para iniciar sesión"
"Customer Login","Inicio de sesión de cliente"
"I accept the <a class=""terms-link"" href=""%s"" rel=""#terms-block"">Terms and Conditions</a>","Acepto los <a class=""terms-link"" href=""%s"" rel=""#terms-block"">Términos y Condiciones</a>"
"Login","Iniciar sesión"
"Forgot Your Password?","¿Ha olvidado su contraseña?"
"Place Order","Hacer pedido"
"Subscribe to newsletter","Subscribirse al newsletter"
"* This field is required","* Es necesario rellenar este campo"
"* Please select an option","* Por favor, seleccione una opción"
"* This checkbox is required","* Es necesario marcar esta casilla"
"*Between ","* Entre "
" and "," y "
"characters allowed","caracteres permitidos"
"* Checks allowed Exceeded","* Se ha sobrepasado el número de tics permitido"
"* Please select ","* Por favor, seleccione"
" options"," opciones"
"* Your field is not matching","* Su campo no coincide"
"* Invalid phone number","* Número de teléfono no válido"
"* Invalid email address","* Dirección de e-mail no válida"
"* Invalid date, must be in YYYY-MM-DD format","* Fecha no válida, debe estar en formato AAAA-MM-DD"
"* Numbers only","* Sólo números"
"* This user is available","* Este usuario está disponible"
"* Loading, please wait","* Cargando, espere por favor"
"* This user is already taken","* Este usuario ya está en uso"
"* This name is already taken","* Este nombre ya está en uso"
"* This name is available","* Este nombre está disponible"
"* Letters only","* Sólo letras"
"* You must have a firstname and a lastname","* Usted debe tener un nombre y un apellido"
"Check this checkbox if you want to add gift messages.","Marque esta casilla si quiere añadir mensajes de regalo."
"Enter a gift message for entire order.","Introduzca un mensaje de regalo para todo el pedido."
"You can leave this box blank if you do not wish to add a gift message for whole order.","Puede dejar esta casilla en blanco si no desea añadir un mensaje de regalo para todo el pedido."
"From","De"
"To","Para"
"Message","Mensaje"
"Item %d of %d","Artículo %d de %d"
"Updating information, please wait...","Actualizando información, espere por favor..."
"General","General"
"Enable LightCheckout","Habilitar LightCheckout"
"Default Country","País por defecto"
"Default Shipping Method","Método de envío por defecto"
"Default Payment Method","Método de pago por defecto"
"Page Title","Título de la página"
"Page Content","Contenido de la página"
"Enable Different Shipping Address","Habilitar diferentes direcciones de envío"
"Enable Delivery Date","Habilitar fecha de entrega"
"Enable GeoIP for Country","Habilitar geolocalización por país"
"Registration","Registro"
"Checkout Mode","Modo caja"
"Registered and guest customers","Clientes registrados e invitados"
"Only registered customers","Sólo clientes registrados"
"Only guest customers","Sólo clientes invitados"
"Enable/Disable Address Fields","Habilitar/Desabilitar campos de dirección"
"Region","Región"
"Zip/Postcode","Código postal"
"Newsletter Checkbox","Casilla del Newsletter"
"Sort Address Fields","Clasificar campos de dirección"
"Company Order","Empresa del pedido"
"Country Order","País del pedido"
"City Order","Ciudad del pedido"
"Telephone Order","Teléfono del pedido"
"Fax Order","Fax del pedido"
"Region Order","Región del pedido"
"Address Order","Dirección del pedido"
"Zip/Postcode Order","Código postal del pedido"
"Terms & Conditions","Términos y Condiciones"
"Enable Terms and Conditions","Habilitar Términos y Condiciones"
"Terms and Conditions Text","Texto de Términos y Condiciones"
"Popup Width in Pixels","Anchura de popup en píxeles"
"Popup Height in Pixels","Altura de popup en píxeles"
"Enable","Habilitar"
"Disable","Desabilitar"
"Required","Necesario"
"Optional","Opcional"
"Yes","Sí"
"No","No"
